Component Name,Version,Type,Licenses,Vulnerabilities,Source
"@alloc/quick-lru","5.2.0","library","Unknown","TBD",
"@emnapi/core","1.4.5","library","Unknown","TBD",
"@emnapi/runtime","1.4.5","library","Unknown","TBD",
"@emnapi/wasi-threads","1.0.4","library","Unknown","TBD",
"@eslint-community/eslint-utils","4.7.0","library","Unknown","TBD",
"@eslint-community/regexpp","4.12.1","library","Unknown","TBD",
"@eslint/config-array","0.21.0","library","Unknown","TBD",
"@eslint/config-helpers","0.3.1","library","Unknown","TBD",
"@eslint/core","0.15.2","library","Unknown","TBD",
"@eslint/eslintrc","3.3.1","library","Unknown","TBD",
"@eslint/js","9.34.0","library","Unknown","TBD",
"@eslint/object-schema","2.1.6","library","Unknown","TBD",
"@eslint/plugin-kit","0.3.5","library","Unknown","TBD",
"@humanfs/core","0.19.1","library","Unknown","TBD",
"@humanfs/node","0.16.6","library","Unknown","TBD",
"@humanwhocodes/module-importer","1.0.1","library","Unknown","TBD",
"@humanwhocodes/retry","0.3.1","library","Unknown","TBD",
"@humanwhocodes/retry","0.4.3","library","Unknown","TBD",
"@img/sharp-darwin-arm64","0.34.3","library","Unknown","TBD",
"@img/sharp-darwin-x64","0.34.3","library","Unknown","TBD",
"@img/sharp-libvips-darwin-arm64","1.2.0","library","Unknown","TBD",
"@img/sharp-libvips-darwin-x64","1.2.0","library","Unknown","TBD",
"@img/sharp-libvips-linux-arm","1.2.0","library","Unknown","TBD",
"@img/sharp-libvips-linux-arm64","1.2.0","library","Unknown","TBD",
"@img/sharp-libvips-linux-ppc64","1.2.0","library","Unknown","TBD",
"@img/sharp-libvips-linux-s390x","1.2.0","library","Unknown","TBD",
"@img/sharp-libvips-linux-x64","1.2.0","library","Unknown","TBD",
"@img/sharp-libvips-linuxmusl-arm64","1.2.0","library","Unknown","TBD",
"@img/sharp-libvips-linuxmusl-x64","1.2.0","library","Unknown","TBD",
"@img/sharp-linux-arm","0.34.3","library","Unknown","TBD",
"@img/sharp-linux-arm64","0.34.3","library","Unknown","TBD",
"@img/sharp-linux-ppc64","0.34.3","library","Unknown","TBD",
"@img/sharp-linux-s390x","0.34.3","library","Unknown","TBD",
"@img/sharp-linux-x64","0.34.3","library","Unknown","TBD",
"@img/sharp-linuxmusl-arm64","0.34.3","library","Unknown","TBD",
"@img/sharp-linuxmusl-x64","0.34.3","library","Unknown","TBD",
"@img/sharp-wasm32","0.34.3","library","Unknown","TBD",
"@img/sharp-win32-arm64","0.34.3","library","Unknown","TBD",
"@img/sharp-win32-ia32","0.34.3","library","Unknown","TBD",
"@img/sharp-win32-x64","0.34.3","library","Unknown","TBD",
"@isaacs/fs-minipass","4.0.1","library","Unknown","TBD",
"@jridgewell/gen-mapping","0.3.13","library","Unknown","TBD",
"@jridgewell/remapping","2.3.5","library","Unknown","TBD",
"@jridgewell/resolve-uri","3.1.2","library","Unknown","TBD",
"@jridgewell/sourcemap-codec","1.5.5","library","Unknown","TBD",
"@jridgewell/trace-mapping","0.3.30","library","Unknown","TBD",
"@napi-rs/wasm-runtime","0.2.12","library","Unknown","TBD",
"@next/env","15.5.0","library","Unknown","TBD",
"@next/eslint-plugin-next","15.5.0","library","Unknown","TBD",
"@next/swc-darwin-arm64","15.5.0","library","Unknown","TBD",
"@next/swc-darwin-x64","15.5.0","library","Unknown","TBD",
"@next/swc-linux-arm64-gnu","15.5.0","library","Unknown","TBD",
"@next/swc-linux-arm64-musl","15.5.0","library","Unknown","TBD",
"@next/swc-linux-x64-gnu","15.5.0","library","Unknown","TBD",
"@next/swc-linux-x64-musl","15.5.0","library","Unknown","TBD",
"@next/swc-win32-arm64-msvc","15.5.0","library","Unknown","TBD",
"@next/swc-win32-x64-msvc","15.5.0","library","Unknown","TBD",
"@nodelib/fs.scandir","2.1.5","library","Unknown","TBD",
"@nodelib/fs.stat","2.0.5","library","Unknown","TBD",
"@nodelib/fs.walk","1.2.8","library","Unknown","TBD",
"@nolyfill/is-core-module","1.0.39","library","Unknown","TBD",
"@rtsao/scc","1.1.0","library","Unknown","TBD",
"@rushstack/eslint-patch","1.12.0","library","Unknown","TBD",
"@swc/helpers","0.5.15","library","Unknown","TBD",
"@tailwindcss/node","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-android-arm64","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-darwin-arm64","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-darwin-x64","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-freebsd-x64","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-linux-arm-gnueabihf","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-linux-arm64-gnu","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-linux-arm64-musl","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-linux-x64-gnu","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-linux-x64-musl","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-wasm32-wasi","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-win32-arm64-msvc","4.1.12","library","Unknown","TBD",
"@tailwindcss/oxide-win32-x64-msvc","4.1.12","library","Unknown","TBD",
"@tailwindcss/postcss","4.1.12","library","Unknown","TBD",
"@tybys/wasm-util","0.10.0","library","Unknown","TBD",
"@types/estree","1.0.8","library","Unknown","TBD",
"@types/json-schema","7.0.15","library","Unknown","TBD",
"@types/json5","0.0.29","library","Unknown","TBD",
"@types/node","20.19.11","library","Unknown","TBD",
"@types/react","19.1.11","library","Unknown","TBD",
"@types/react-dom","19.1.7","library","Unknown","TBD",
"@typescript-eslint/eslint-plugin","8.40.0","library","Unknown","TBD",
"@typescript-eslint/parser","8.40.0","library","Unknown","TBD",
"@typescript-eslint/project-service","8.40.0","library","Unknown","TBD",
"@typescript-eslint/scope-manager","8.40.0","library","Unknown","TBD",
"@typescript-eslint/tsconfig-utils","8.40.0","library","Unknown","TBD",
"@typescript-eslint/type-utils","8.40.0","library","Unknown","TBD",
"@typescript-eslint/types","8.40.0","library","Unknown","TBD",
"@typescript-eslint/typescript-estree","8.40.0","library","Unknown","TBD",
"@typescript-eslint/utils","8.40.0","library","Unknown","TBD",
"@typescript-eslint/visitor-keys","8.40.0","library","Unknown","TBD",
"@unrs/resolver-binding-android-arm-eabi","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-android-arm64","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-darwin-arm64","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-darwin-x64","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-freebsd-x64","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-linux-arm-gnueabihf","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-linux-arm-musleabihf","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-linux-arm64-gnu","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-linux-arm64-musl","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-linux-ppc64-gnu","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-linux-riscv64-gnu","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-linux-riscv64-musl","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-linux-s390x-gnu","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-linux-x64-gnu","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-linux-x64-musl","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-wasm32-wasi","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-win32-arm64-msvc","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-win32-ia32-msvc","1.11.1","library","Unknown","TBD",
"@unrs/resolver-binding-win32-x64-msvc","1.11.1","library","Unknown","TBD",
"acorn","8.15.0","library","Unknown","TBD",
"acorn-jsx","5.3.2","library","Unknown","TBD",
"actions/checkout","v3","library","Unknown","TBD",
"actions/checkout","v4","library","Unknown","TBD",
"actions/checkout","v4","library","Unknown","TBD",
"actions/setup-node","v1","library","Unknown","TBD",
"actions/setup-node","v3","library","Unknown","TBD",
"actions/setup-node","v3","library","Unknown","TBD",
"actions/setup-node","v4","library","Unknown","TBD",
"ajv","6.12.6","library","Unknown","TBD",
"ansi-styles","4.3.0","library","Unknown","TBD",
"argparse","2.0.1","library","Unknown","TBD",
"aria-query","5.3.2","library","Unknown","TBD",
"array-buffer-byte-length","1.0.2","library","Unknown","TBD",
"array-includes","3.1.9","library","Unknown","TBD",
"array.prototype.findlast","1.2.5","library","Unknown","TBD",
"array.prototype.findlastindex","1.2.6","library","Unknown","TBD",
"array.prototype.flat","1.3.3","library","Unknown","TBD",
"array.prototype.flatmap","1.3.3","library","Unknown","TBD",
"array.prototype.tosorted","1.1.4","library","Unknown","TBD",
"arraybuffer.prototype.slice","1.0.4","library","Unknown","TBD",
